_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
541,../archive/2016.QTR4/0001037646-16-000066.json,4,MTD,2016
542,../archive/2016.QTR4/0001193125-16-760021.json,4,PLPC,2016
543,../archive/2016.QTR4/0001213900-16-018754.json,4,ENCR,2016
544,../archive/2016.QTR4/0001683168-16-000647.json,4,RNVA,2016
545,../archive/2016.QTR4/0001500435-16-000126.json,4,GPRO,2016
546,../archive/2016.QTR4/0000034563-16-000144.json,4,FARM,2016
547,../archive/2016.QTR4/0001193125-16-763174.json,4,BGCP,2016
548,../archive/2016.QTR4/0000882095-16-000060.json,4,GILD,2016
549,../archive/2016.QTR4/0001493152-16-015059.json,4,BRTX,2016
550,../archive/2016.QTR4/0001193125-16-801936.json,4,HVBC,2016
551,../archive/2016.QTR4/0001558370-16-009765.json,4,SIEN,2016
552,../archive/2016.QTR4/0001130758-16-000021.json,4,AEI20,2016
553,../archive/2016.QTR4/0001140361-16-086221.json,4,BDMS,2016
554,../archive/2016.QTR4/0000096943-16-000258.json,4,TFX,2016
555,../archive/2016.QTR4/0001564590-16-028583.json,4,SRNE,2016
556,../archive/2016.QTR4/0001193125-16-755416.json,4,RAIL,2016
557,../archive/2016.QTR4/0001558370-16-009335.json,4,TXRH,2016
558,../archive/2016.QTR4/0001646587-16-000091.json,4,NRF,2016
559,../archive/2016.QTR4/0001493152-16-014648.json,4,TAUG,2016
560,../archive/2016.QTR4/0001437749-16-041577.json,4,GLF,2016
561,../archive/2016.QTR4/0001628280-16-022051.json,4,HPE,2016
562,../archive/2016.QTR4/0001010549-16-000781.json,4,GFTI,2016
563,../archive/2016.QTR4/0000106640-16-000124.json,4,WHR,2016
564,../archive/2016.QTR4/0001171843-16-012917.json,4,HBIO,2016
565,../archive/2016.QTR4/0001582086-16-000037.json,4,BCRH,2016
566,../archive/2016.QTR4/0001628280-16-020579.json,4,RGLS,2016
567,../archive/2016.QTR4/0000725876-16-000174.json,4,FNCX,2016
568,../archive/2016.QTR4/0001104659-16-150297.json,4,BZYR,2016
569,../archive/2016.QTR4/0001213900-16-018492.json,4,SITO,2016
570,../archive/2016.QTR4/0001025378-16-000099.json,4,WPC,2016
571,../archive/2016.QTR4/0001437749-16-040389.json,4,ULBI,2016
572,../archive/2016.QTR4/0001012620-16-000038.json,4,GWR,2016
573,../archive/2016.QTR4/0001477932-16-013388.json,4,INLL,2016
574,../archive/2016.QTR4/0000055242-16-000070.json,4,KMT,2016
575,../archive/2016.QTR4/0001477932-16-013672.json,4,IMSTE,2016
576,../archive/2016.QTR4/0001214659-16-014705.json,4,CIK0001498232,2016
577,../archive/2016.QTR4/0001078782-16-003785.json,4,NCAP,2016
578,../archive/2016.QTR4/0001615774-16-008007.json,4,CIK0001435375,2016
579,../archive/2016.QTR4/0001090727-16-000086.json,4,UPS,2016
580,../archive/2016.QTR4/0001449732-16-000026.json,4,WG,2016
581,../archive/2016.QTR4/0001171843-16-013081.json,4,UG,2016
582,../archive/2016.QTR4/0001213900-16-017419.json,4,PPMT,2016
583,../archive/2016.QTR4/0001130464-16-000217.json,4,BKH,2016
584,../archive/2016.QTR4/0001584207-16-000126.json,4,SLFC,2016
585,../archive/2016.QTR4/0000010048-16-000021.json,4,BRN,2016
586,../archive/2016.QTR4/0001628280-16-020742.json,4,GPOR,2016
587,../archive/2016.QTR4/0001437749-16-041259.json,4,GSG,2016
588,../archive/2016.QTR4/0000073756-16-000116.json,4,OII,2016
589,../archive/2016.QTR4/0001564590-16-028307.json,4,STRT,2016
590,../archive/2016.QTR4/0001193125-16-765624.json,4,MADL,2016
591,../archive/2016.QTR4/0001144204-16-141717.json,4,RGBD,2016
592,../archive/2016.QTR4/0001551163-16-000519.json,4,BIOE,2016
593,../archive/2016.QTR4/0001564590-16-026319.json,4,AGI,2016
594,../archive/2016.QTR4/0000862668-16-000043.json,4,ESMC,2016
595,../archive/2016.QTR4/0001140361-16-084861.json,4,SHOR,2016
596,../archive/2016.QTR4/0001510580-16-000004.json,4,KITE,2016
597,../archive/2016.QTR4/0001144204-16-131946.json,4,FDEF,2016
598,../archive/2016.QTR4/0001193125-16-747755.json,4,MDLZ,2016
599,../archive/2016.QTR4/0001140361-16-085289.json,4,MTEX,2016
600,../archive/2016.QTR4/0001144204-16-132393.json,4,INOD,2016
601,../archive/2016.QTR4/0000097745-16-000072.json,4,TMO,2016
