_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
4095,../archive/2016.QTR2/0001415301-16-000025.json,2,DFRG,2016
4096,../archive/2016.QTR2/0001564590-16-018280.json,2,TRMK,2016
4097,../archive/2016.QTR2/0001564590-16-017460.json,2,FMI,2016
4098,../archive/2016.QTR2/0001390478-16-000095.json,2,GALE,2016
4099,../archive/2016.QTR2/0001607062-16-000829.json,2,BMSN,2016
4100,../archive/2016.QTR2/0001213900-16-012280.json,2,ORMP,2016
4101,../archive/2016.QTR2/0001445866-16-002106.json,2,BOST,2016
4102,../archive/2016.QTR2/0001042167-16-000247.json,2,JOUT,2016
4103,../archive/2016.QTR2/0001185185-16-004722.json,2,EDUC,2016
4104,../archive/2016.QTR2/0000814184-16-000093.json,2,TCB,2016
4105,../archive/2016.QTR2/0001615774-16-005304.json,2,OPXS,2016
4106,../archive/2016.QTR2/0001005414-16-000090.json,2,TRU,2016
4107,../archive/2016.QTR2/0001303313-16-000041.json,2,LHCG,2016
4108,../archive/2016.QTR2/0000897077-16-000102.json,2,ALG,2016
4109,../archive/2016.QTR2/0000930413-16-006542.json,2,HON,2016
4110,../archive/2016.QTR2/0001376474-16-000735.json,2,CIGF4,2016
4111,../archive/2016.QTR2/0001635650-16-000079.json,2,GPP,2016
4112,../archive/2016.QTR2/0000912061-16-000026.json,2,NHTC,2016
4113,../archive/2016.QTR2/0001019687-16-006286.json,2,NONE,2016
4114,../archive/2016.QTR2/0001628280-16-014813.json,2,HUBB,2016
4115,../archive/2016.QTR2/0001013462-16-000020.json,2,ANSS,2016
4116,../archive/2016.QTR2/0001193125-16-617827.json,2,URBN,2016
4117,../archive/2016.QTR2/0001616318-16-000100.json,2,VSTO,2016
4118,../archive/2016.QTR2/0001104659-16-119264.json,2,STML,2016
4119,../archive/2016.QTR2/0001047469-16-013932.json,2,LZB,2016
4120,../archive/2016.QTR2/0000070415-16-000162.json,2,GPX,2016
4121,../archive/2016.QTR2/0001098151-16-000070.json,2,FDBC,2016
4122,../archive/2016.QTR2/0000827052-16-000321.json,2,EIX,2016
4123,../archive/2016.QTR2/0001331754-16-000311.json,2,FHLBI,2016
4124,../archive/2016.QTR2/0001408100-16-000312.json,2,KW,2016
4125,../archive/2016.QTR2/0001096906-16-001716.json,2,NTEX,2016
4126,../archive/2016.QTR2/0001558370-16-005670.json,2,PFSI,2016
4127,../archive/2016.QTR2/0001065949-16-000385.json,2,MIHI,2016
4128,../archive/2016.QTR2/0001615774-16-005538.json,2,SCIE,2016
4129,../archive/2016.QTR2/0001131096-16-000310.json,2,ATHN,2016
4130,../archive/2016.QTR2/0001047469-16-013877.json,2,ITI,2016
4131,../archive/2016.QTR2/0001144204-16-100550.json,2,WLRH,2016
4132,../archive/2016.QTR2/0001424454-16-000059.json,2,ROVI,2016
4133,../archive/2016.QTR2/0001376474-16-000670.json,2,PLU,2016
4134,../archive/2016.QTR2/0001193125-16-583988.json,2,CK0001415311,2016
4135,../archive/2016.QTR2/0001493152-16-011086.json,2,INWP,2016
4136,../archive/2016.QTR2/0001213900-16-012516.json,2,CTOP,2016
4137,../archive/2016.QTR2/0001076542-16-000306.json,2,ECPN,2016
4138,../archive/2016.QTR2/0001387131-16-005510.json,2,CRVW,2016
4139,../archive/2016.QTR2/0000887343-16-000053.json,2,COLB,2016
4140,../archive/2016.QTR2/0000004187-16-000053.json,2,IDSA,2016
4141,../archive/2016.QTR2/0001173375-16-000214.json,2,REAC,2016
4142,../archive/2016.QTR2/0000914374-16-000218.json,2,OKSB,2016
4143,../archive/2016.QTR2/0001078782-16-002763.json,2,MNTR,2016
4144,../archive/2016.QTR2/0001673379-16-000004.json,2,APA,2016
4145,../archive/2016.QTR2/0001640334-16-000955.json,2,JSHY,2016
4146,../archive/2016.QTR2/0000866121-16-000083.json,2,ATK,2016
4147,../archive/2016.QTR2/0001206774-16-005878.json,2,CNOB,2016
4148,../archive/2016.QTR2/0001558370-16-006322.json,2,CVGW,2016
4149,../archive/2016.QTR2/0000912093-16-000021.json,2,VIAV,2016
4150,../archive/2016.QTR2/0001564590-16-017821.json,2,SFM,2016
4151,../archive/2016.QTR2/0001392091-16-000112.json,2,BKEP,2016
4152,../archive/2016.QTR2/0001144204-16-102613.json,2,ETAK,2016
4153,../archive/2016.QTR2/0000885245-16-000064.json,2,BKE,2016
4154,../archive/2016.QTR2/0001564590-16-019079.json,2,FOGO,2016
4155,../archive/2016.QTR2/0000711404-16-000030.json,2,COO,2016
4156,../archive/2016.QTR2/0001437749-16-030369.json,2,LAD,2016
4157,../archive/2016.QTR2/0001144204-16-102306.json,2,HPJ,2016
4158,../archive/2016.QTR2/0001193125-16-590536.json,2,PTI,2016
4159,../archive/2016.QTR2/0001657250-16-000055.json,2,OPULENT,2016
4160,../archive/2016.QTR2/0001030469-16-000074.json,2,OFG,2016
4161,../archive/2016.QTR2/0001628280-16-017012.json,2,DCI,2016
4162,../archive/2016.QTR2/0001564590-16-017437.json,2,GLDD,2016
4163,../archive/2016.QTR2/0001656423-16-000017.json,2,BXP,2016
4164,../archive/2016.QTR2/0001558370-16-005298.json,2,IMMU,2016
4165,../archive/2016.QTR2/0000048039-16-000113.json,2,HFC,2016
4166,../archive/2016.QTR2/0001144204-16-100442.json,2,MMAC,2016
4167,../archive/2016.QTR2/0001013762-16-001582.json,2,EMAN,2016
