json_id,location,quarter,ticker,year
3423,../archive/2012.QTR3/0001502375-12-000003.json,3,QCOR,2012
3424,../archive/2012.QTR3/0001193125-12-347320.json,3,FBRC,2012
3425,../archive/2012.QTR3/0001193125-12-353733.json,3,CLPI,2012
3426,../archive/2012.QTR3/0000074260-12-000076.json,3,ORI,2012
3427,../archive/2012.QTR3/0001104659-12-056451.json,3,HPT,2012
3428,../archive/2012.QTR3/0001062993-12-002556.json,3,MVRM,2012
3429,../archive/2012.QTR3/0001193125-12-337472.json,3,TSS,2012
3430,../archive/2012.QTR3/0001137050-12-000360.json,3,FAHL,2012
3431,../archive/2012.QTR3/0001193125-12-389476.json,3,PMFG,2012
3432,../archive/2012.QTR3/0001157523-12-004187.json,3,EGOV,2012
3433,../archive/2012.QTR3/0000750813-12-000018.json,3,SEITEL,2012
3434,../archive/2012.QTR3/0001144204-12-050585.json,3,NEOM,2012
3435,../archive/2012.QTR3/0001144204-12-046001.json,3,SQBG,2012
3436,../archive/2012.QTR3/0001104659-12-056902.json,3,BRN,2012
3437,../archive/2012.QTR3/0001140361-12-036077.json,3,BREW,2012
3438,../archive/2012.QTR3/0001511164-12-000176.json,3,CTGI,2012
3439,../archive/2012.QTR3/0001437749-12-008304.json,3,TALN,2012
3440,../archive/2012.QTR3/0001010549-12-000934.json,3,SNRV,2012
3441,../archive/2012.QTR3/0001368568-12-000024.json,3,DALC,2012
3442,../archive/2012.QTR3/0001493152-12-000914.json,3,PAWS,2012
3443,../archive/2012.QTR3/0001193125-12-329315.json,3,NSIT,2012
3444,../archive/2012.QTR3/0001213900-12-004612.json,3,OXYS,2012
3445,../archive/2012.QTR3/0000702165-12-000122.json,3,NSC,2012
3446,../archive/2012.QTR3/0000921895-12-001806.json,3,PCYC,2012
3447,../archive/2012.QTR3/0001193125-12-355464.json,3,CUUU,2012
3448,../archive/2012.QTR3/0001104659-12-055154.json,3,ABT,2012
3449,../archive/2012.QTR3/0001104659-12-053983.json,3,WSTG,2012
3450,../archive/2012.QTR3/0001387308-12-000079.json,3,DRGN,2012
3451,../archive/2012.QTR3/0001078782-12-002272.json,3,NGHI,2012
3452,../archive/2012.QTR3/0001263291-12-000039.json,3,TCLP,2012
3453,../archive/2012.QTR3/0001193125-12-355521.json,3,GDFF,2012
3454,../archive/2012.QTR3/0001492298-12-000041.json,3,SBRA,2012
3455,../archive/2012.QTR3/0001076542-12-000139.json,3,ECPN,2012
3456,../archive/2012.QTR3/0001193125-12-344330.json,3,SAIA,2012
3457,../archive/2012.QTR3/0001072613-12-000533.json,3,CASM,2012
