_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
2120,../archive/2012.QTR1/0001193125-12-139942.json,1,SFGLP,2012
2121,../archive/2012.QTR1/0001144204-12-011785.json,1,PRK,2012
2122,../archive/2012.QTR1/0000950123-12-002148.json,1,WCN,2012
2123,../archive/2012.QTR1/0001144204-12-012900.json,1,HDSN,2012
2124,../archive/2012.QTR1/0001193125-12-036890.json,1,OYOG,2012
2125,../archive/2012.QTR1/0001061219-12-000006.json,1,EPD,2012
2126,../archive/2012.QTR1/0001193125-12-005309.json,1,TISI,2012
2127,../archive/2012.QTR1/0001193125-12-100269.json,1,FOR,2012
2128,../archive/2012.QTR1/0001188112-12-000915.json,1,BFED,2012
2129,../archive/2012.QTR1/0001047469-12-002539.json,1,CALD,2012
2130,../archive/2012.QTR1/0001013762-12-000177.json,1,MYGP,2012
2131,../archive/2012.QTR1/0001193125-12-117406.json,1,PNSN,2012
2132,../archive/2012.QTR1/0001104659-12-000897.json,1,HELE,2012
2133,../archive/2012.QTR1/0001193125-12-079478.json,1,HSBCFC,2012
2134,../archive/2012.QTR1/0001252849-12-000009.json,1,WELLSRII,2012
2135,../archive/2012.QTR1/0000950123-12-003759.json,1,VPFG,2012
2136,../archive/2012.QTR1/0001047469-12-002169.json,1,SVM,2012
2137,../archive/2012.QTR1/0000950159-12-000169.json,1,CUSTBANC,2012
2138,../archive/2012.QTR1/0001144204-12-012003.json,1,ZIOP,2012
2139,../archive/2012.QTR1/0001193125-12-101478.json,1,CPIX,2012
2140,../archive/2012.QTR1/0001078782-12-000386.json,1,SNPK,2012
2141,../archive/2012.QTR1/0001104659-12-010751.json,1,HE,2012
2142,../archive/2012.QTR1/0001002014-12-000048.json,1,ESRN,2012
2143,../archive/2012.QTR1/0001019687-12-001135.json,1,NONE,2012
2144,../archive/2012.QTR1/0001047469-12-001929.json,1,SGMS,2012
2145,../archive/2012.QTR1/0001047469-12-001883.json,1,CHM,2012
2146,../archive/2012.QTR1/0001193125-12-100855.json,1,NCS,2012
2147,../archive/2012.QTR1/0001144204-12-001510.json,1,IGPAA,2012
2148,../archive/2012.QTR1/0001193125-12-142775.json,1,ACEFL,2012
2149,../archive/2012.QTR1/0001193125-12-070566.json,1,LOPE,2012
2150,../archive/2012.QTR1/0001193125-12-078156.json,1,HUBG,2012
2151,../archive/2012.QTR1/0001193125-12-137675.json,1,DWSF,2012
2152,../archive/2012.QTR1/0001294154-12-000068.json,1,RREOPPTYREIT,2012
2153,../archive/2012.QTR1/0001165527-12-000186.json,1,FASV,2012
2154,../archive/2012.QTR1/0001445049-12-000003.json,1,EFCH,2012
2155,../archive/2012.QTR1/0000835095-12-000002.json,1,BCTCI,2012
2156,../archive/2012.QTR1/0001144204-12-014657.json,1,AASL,2012
2157,../archive/2012.QTR1/0001140361-12-012224.json,1,ACPW,2012
2158,../archive/2012.QTR1/0001193125-12-081965.json,1,UFS,2012
2159,../archive/2012.QTR1/0001047469-12-002743.json,1,MNTG,2012
2160,../archive/2012.QTR1/0001193125-12-117386.json,1,RRTS,2012
2161,../archive/2012.QTR1/0001262463-12-000079.json,1,APEX,2012
2162,../archive/2012.QTR1/0001171843-12-000586.json,1,GGS,2012
2163,../archive/2012.QTR1/0001104659-12-020308.json,1,MLBF,2012
2164,../archive/2012.QTR1/0001193125-12-143471.json,1,BDCO,2012
2165,../archive/2012.QTR1/0001193125-12-139684.json,1,BKOR,2012
2166,../archive/2012.QTR1/0001157523-12-000332.json,1,AURM,2012
2167,../archive/2012.QTR1/0001193125-12-092133.json,1,TYPE,2012
2168,../archive/2012.QTR1/0001193125-12-107555.json,1,HALO,2012
2169,../archive/2012.QTR1/0000827054-12-000035.json,1,MCHP,2012
2170,../archive/2012.QTR1/0001013762-12-000474.json,1,MCVE,2012
2171,../archive/2012.QTR1/0001171843-12-000705.json,1,ZNOM,2012
2172,../archive/2012.QTR1/0001193125-12-117105.json,1,LBAI,2012
2173,../archive/2012.QTR1/0001140361-12-004870.json,1,WRLD,2012
2174,../archive/2012.QTR1/0001144204-12-012500.json,1,MITI,2012
2175,../archive/2012.QTR1/0001144204-12-006406.json,1,UVV,2012
2176,../archive/2012.QTR1/0001193125-12-012120.json,1,CIK0001433997,2012
2177,../archive/2012.QTR1/0001070524-12-000009.json,1,GCBC,2012
2178,../archive/2012.QTR1/0000939057-12-000058.json,1,SFDL,2012
2179,../archive/2012.QTR1/0001193125-12-121522.json,1,BDSI,2012
2180,../archive/2012.QTR1/0001437749-12-002793.json,1,NBY,2012
2181,../archive/2012.QTR1/0001144204-12-007647.json,1,CBKM,2012
2182,../archive/2012.QTR1/0001144204-12-014591.json,1,CNBC,2012
2183,../archive/2012.QTR1/0000813762-12-000008.json,1,IEP,2012
2184,../archive/2012.QTR1/0001193125-12-137788.json,1,MNOV,2012
2185,../archive/2012.QTR1/0001437749-12-002117.json,1,PLCC,2012
2186,../archive/2012.QTR1/0001075531-12-000005.json,1,PCLN,2012
2187,../archive/2012.QTR1/0001193125-12-089544.json,1,WSBC,2012
2188,../archive/2012.QTR1/0001047469-12-001587.json,1,CCOI,2012
2189,../archive/2012.QTR1/0001193125-12-139796.json,1,LUNA,2012
2190,../archive/2012.QTR1/0001019687-12-001162.json,1,NONE,2012
2191,../archive/2012.QTR1/0001193125-12-117294.json,1,ABCD,2012
2192,../archive/2012.QTR1/0000810663-12-000012.json,1,BFQHV,2012
2193,../archive/2012.QTR1/0001108426-12-000014.json,1,PNM,2012
2194,../archive/2012.QTR1/0001023458-12-000025.json,1,AEI20,2012
2195,../archive/2012.QTR1/0001144204-12-018789.json,1,TWWI,2012
2196,../archive/2012.QTR1/0001188112-12-000391.json,1,PSBH,2012
2197,../archive/2012.QTR1/0001204459-12-000630.json,1,NUIN,2012
2198,../archive/2012.QTR1/0001047469-12-002714.json,1,TGT,2012
2199,../archive/2012.QTR1/0001193125-12-114457.json,1,DBB,2012
2200,../archive/2012.QTR1/0001193125-12-052856.json,1,LGND,2012
2201,../archive/2012.QTR1/0001193125-12-132135.json,1,CIK0001289785,2012
2202,../archive/2012.QTR1/0000043300-12-000008.json,1,CIK0000043300,2012
2203,../archive/2012.QTR1/0001193125-12-118927.json,1,NIMU,2012
2204,../archive/2012.QTR1/0001193125-12-084819.json,1,DDR,2012
2205,../archive/2012.QTR1/0000799292-12-000006.json,1,MHO,2012
2206,../archive/2012.QTR1/0001144204-12-008859.json,1,LIEG,2012
2207,../archive/2012.QTR1/0001364896-12-000017.json,1,MPSP,2012
2208,../archive/2012.QTR1/0001157523-12-001574.json,1,BKE,2012
2209,../archive/2012.QTR1/0001057352-12-000024.json,1,CSGP,2012
2210,../archive/2012.QTR1/0001193125-12-098990.json,1,ACAD,2012
2211,../archive/2012.QTR1/0001144204-12-013346.json,1,NAVB,2012
2212,../archive/2012.QTR1/0001445305-12-000234.json,1,V,2012
2213,../archive/2012.QTR1/0000914317-12-000361.json,1,ONFC,2012
2214,../archive/2012.QTR1/0001165527-12-000217.json,1,SGAE,2012
2215,../archive/2012.QTR1/0001331754-12-000049.json,1,FHLBI,2012
2216,../archive/2012.QTR1/0001193125-12-024550.json,1,MOLX,2012
2217,../archive/2012.QTR1/0001062993-12-000230.json,1,SRCI,2012
2218,../archive/2012.QTR1/0001144204-12-002107.json,1,BMER,2012
2219,../archive/2012.QTR1/0000930413-12-001976.json,1,EEDU,2012
2220,../archive/2012.QTR1/0001193125-12-132709.json,1,KIOR,2012
2221,../archive/2012.QTR1/0000320387-12-000009.json,1,FMFC,2012
2222,../archive/2012.QTR1/0001193125-12-115180.json,1,MEA,2012
2223,../archive/2012.QTR1/0001047469-12-002578.json,1,STRI,2012
2224,../archive/2012.QTR1/0001193125-12-036078.json,1,PLXS,2012
2225,../archive/2012.QTR1/0001213900-12-001577.json,1,WRASP,2012
2226,../archive/2012.QTR1/0001193125-12-082021.json,1,BPL,2012
2227,../archive/2012.QTR1/0001193125-12-045805.json,1,PLNR,2012
2228,../archive/2012.QTR1/0000085408-12-000003.json,1,RDC,2012
2229,../archive/2012.QTR1/0001021635-12-000006.json,1,OGE,2012
2230,../archive/2012.QTR1/0000943440-12-000195.json,1,TRANSATLANTIC,2012
2231,../archive/2012.QTR1/0001010549-12-000347.json,1,IOT,2012
2232,../archive/2012.QTR1/0000950142-12-000099.json,1,GGR,2012
2233,../archive/2012.QTR1/0001193125-12-049298.json,1,SPTN,2012
2234,../archive/2012.QTR1/0001193125-12-117650.json,1,CIK0001438897,2012
2235,../archive/2012.QTR1/0001387131-12-000718.json,1,AFH,2012
2236,../archive/2012.QTR1/0001193125-12-094248.json,1,GEF,2012
2237,../archive/2012.QTR1/0001047469-12-001840.json,1,GEN,2012
2238,../archive/2012.QTR1/0001144204-12-014381.json,1,TXCC,2012
2239,../archive/2012.QTR1/0001445305-12-000536.json,1,BID,2012
