_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
214,../archive/2010.QTR3/0001193125-10-204827.json,3,COO,2010
215,../archive/2010.QTR3/0001047469-10-007030.json,3,EME,2010
216,../archive/2010.QTR3/0000950123-10-073350.json,3,UNS,2010
217,../archive/2010.QTR3/0000072741-10-000160.json,3,NU,2010
218,../archive/2010.QTR3/0001193125-10-179154.json,3,GDP,2010
219,../archive/2010.QTR3/0000950123-10-074180.json,3,PLXS,2010
220,../archive/2010.QTR3/0001393311-10-000021.json,3,PSA,2010
221,../archive/2010.QTR3/0000950123-10-072404.json,3,PKG,2010
222,../archive/2010.QTR3/0001193125-10-173723.json,3,SBUX,2010
223,../archive/2010.QTR3/0001193125-10-168495.json,3,FII,2010
224,../archive/2010.QTR3/0001193125-10-176872.json,3,EQIX,2010
225,../archive/2010.QTR3/0001193125-10-181233.json,3,JLL,2010
226,../archive/2010.QTR3/0000950123-10-072412.json,3,HES,2010
227,../archive/2010.QTR3/0000950123-10-074196.json,3,ISBC,2010
228,../archive/2010.QTR3/0001193125-10-193035.json,3,RTN,2010
229,../archive/2010.QTR3/0000950123-10-074342.json,3,FICO,2010
230,../archive/2010.QTR3/0000950123-10-072296.json,3,FIS,2010
231,../archive/2010.QTR3/0000950123-10-070614.json,3,DAL,2010
232,../archive/2010.QTR3/0000950123-10-082884.json,3,HNZ,2010
233,../archive/2010.QTR3/0000950123-10-073891.json,3,ARRS,2010
234,../archive/2010.QTR3/0000950123-10-070497.json,3,HS,2010
235,../archive/2010.QTR3/0000950123-10-074084.json,3,ORA,2010
236,../archive/2010.QTR3/0001193125-10-180475.json,3,WCRX,2010
237,../archive/2010.QTR3/0001104659-10-043253.json,3,GNK,2010
238,../archive/2010.QTR3/0000950123-10-070182.json,3,ETN,2010
239,../archive/2010.QTR3/0001193125-10-181321.json,3,EXP,2010
240,../archive/2010.QTR3/0000766421-10-000038.json,3,ALK,2010
241,../archive/2010.QTR3/0001140361-10-030757.json,3,CL,2010
242,../archive/2010.QTR3/0001193125-10-196539.json,3,CMO,2010
243,../archive/2010.QTR3/0000703361-10-000018.json,3,IDTI,2010
244,../archive/2010.QTR3/0001193125-10-177193.json,3,AOS,2010
245,../archive/2010.QTR3/0001193125-10-187144.json,3,CY,2010
246,../archive/2010.QTR3/0000916365-10-000020.json,3,TSCO,2010
247,../archive/2010.QTR3/0000950123-10-070376.json,3,ACIW,2010
248,../archive/2010.QTR3/0000732717-10-000074.json,3,T,2010
