_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
2188,../archive/2016.QTR3/0001437749-16-037482.json,3,DFFN,2016
2189,../archive/2016.QTR3/0001564590-16-023516.json,3,CIK0000885568,2016
2190,../archive/2016.QTR3/0001038838-16-000297.json,3,KAZ,2016
2191,../archive/2016.QTR3/0001437749-16-037178.json,3,MLSS,2016
2192,../archive/2016.QTR3/0001628280-16-018633.json,3,GABC,2016
2193,../archive/2016.QTR3/0000930413-16-007900.json,3,ARKR,2016
2194,../archive/2016.QTR3/0001140361-16-078718.json,3,PLAB,2016
2195,../archive/2016.QTR3/0001104659-16-139756.json,3,JAGX,2016
2196,../archive/2016.QTR3/0001185185-16-005234.json,3,BIAD,2016
2197,../archive/2016.QTR3/0001564590-16-022429.json,3,CSGS,2016
2198,../archive/2016.QTR3/0001617798-16-000085.json,3,PTXP,2016
2199,../archive/2016.QTR3/0001010549-16-000676.json,3,ACT,2016
2200,../archive/2016.QTR3/0001223862-16-000094.json,3,BLOX,2016
2201,../archive/2016.QTR3/0001193125-16-679216.json,3,CK0000925306,2016
2202,../archive/2016.QTR3/0001477932-16-012481.json,3,SSE,2016
2203,../archive/2016.QTR3/0001140361-16-075254.json,3,SHEN,2016
2204,../archive/2016.QTR3/0001062993-16-011242.json,3,ODT,2016
2205,../archive/2016.QTR3/0001214659-16-013072.json,3,CIK1455741,2016
2206,../archive/2016.QTR3/0000042888-16-000020.json,3,GGG,2016
2207,../archive/2016.QTR3/0001564590-16-023668.json,3,DBA,2016
2208,../archive/2016.QTR3/0001437107-16-000084.json,3,DISCA,2016
2209,../archive/2016.QTR3/0001206774-16-006811.json,3,CYVA,2016
2210,../archive/2016.QTR3/0001144204-16-116445.json,3,CZNC,2016
2211,../archive/2016.QTR3/0001477932-16-011757.json,3,CHJI,2016
2212,../archive/2016.QTR3/0001193125-16-664131.json,3,VZ,2016
2213,../archive/2016.QTR3/0001564590-16-023687.json,3,UDN,2016
2214,../archive/2016.QTR3/0001558370-16-006971.json,3,BEAV,2016
2215,../archive/2016.QTR3/0001558370-16-007663.json,3,UHSI,2016
2216,../archive/2016.QTR3/0001564590-16-021710.json,3,MINI,2016
2217,../archive/2016.QTR3/0001477932-16-012194.json,3,UHLN,2016
2218,../archive/2016.QTR3/0000102741-16-000020.json,3,VAL,2016
2219,../archive/2016.QTR3/0001021635-16-000235.json,3,OGE,2016
2220,../archive/2016.QTR3/0000745981-16-000104.json,3,MSL,2016
2221,../archive/2016.QTR3/0001010549-16-000699.json,3,BLBX,2016
2222,../archive/2016.QTR3/0001213900-16-015707.json,3,ONP,2016
2223,../archive/2016.QTR3/0000080661-16-000116.json,3,PGR,2016
2224,../archive/2016.QTR3/0001193125-16-671763.json,3,BX,2016
2225,../archive/2016.QTR3/0001144204-16-116629.json,3,ANIP,2016
2226,../archive/2016.QTR3/0001104659-16-140049.json,3,DFBG,2016
2227,../archive/2016.QTR3/0001683168-16-000026.json,3,PMCB,2016
2228,../archive/2016.QTR3/0000354950-16-000082.json,3,HD,2016
2229,../archive/2016.QTR3/0001193125-16-654354.json,3,AAL,2016
2230,../archive/2016.QTR3/0001193125-16-705193.json,3,GMAN,2016
2231,../archive/2016.QTR3/0001193125-16-682032.json,3,CHCI,2016
2232,../archive/2016.QTR3/0001628280-16-018721.json,3,SGYP,2016
2233,../archive/2016.QTR3/0000047217-16-000082.json,3,HPQ,2016
2234,../archive/2016.QTR3/0001558370-16-007819.json,3,ENV,2016
2235,../archive/2016.QTR3/0001412665-16-000180.json,3,MOFG,2016
2236,../archive/2016.QTR3/0001437749-16-035811.json,3,CBM,2016
2237,../archive/2016.QTR3/0000939057-16-000953.json,3,RVSB,2016
2238,../archive/2016.QTR3/0001564590-16-022350.json,3,PAYC,2016
2239,../archive/2016.QTR3/0001437749-16-039131.json,3,MAMS,2016
2240,../archive/2016.QTR3/0000084748-16-000020.json,3,ROG,2016
2241,../archive/2016.QTR3/0001406666-16-000106.json,3,CALX,2016
2242,../archive/2016.QTR3/0001564590-16-022700.json,3,CDR,2016
2243,../archive/2016.QTR3/0001193125-16-673498.json,3,SSS,2016
2244,../archive/2016.QTR3/0001128361-16-000097.json,3,BBCN,2016
2245,../archive/2016.QTR3/0001564590-16-023541.json,3,CK0001595627,2016
2246,../archive/2016.QTR3/0001325878-16-000046.json,3,FHLBT,2016
2247,../archive/2016.QTR3/0000077476-16-000107.json,3,PEP,2016
2248,../archive/2016.QTR3/0001428336-16-000056.json,3,HQY,2016
2249,../archive/2016.QTR3/0001402829-16-000061.json,3,ORN,2016
2250,../archive/2016.QTR3/0001387131-16-006693.json,3,VYST,2016
2251,../archive/2016.QTR3/0001558370-16-008017.json,3,IND2,2016
2252,../archive/2016.QTR3/0001042776-16-000339.json,3,PDM,2016
2253,../archive/2016.QTR3/0000851310-16-000100.json,3,HLIT,2016
2254,../archive/2016.QTR3/0001408100-16-000347.json,3,KW,2016
2255,../archive/2016.QTR3/0001415889-16-006799.json,3,VSTA,2016
2256,../archive/2016.QTR3/0001615774-16-007100.json,3,FRED,2016
2257,../archive/2016.QTR3/0001071993-16-000089.json,3,MCF,2016
2258,../archive/2016.QTR3/0001477932-16-011393.json,3,JFIL,2016
2259,../archive/2016.QTR3/0001654954-16-001489.json,3,FSI,2016
2260,../archive/2016.QTR3/0001564590-16-022517.json,3,CBIO,2016
2261,../archive/2016.QTR3/0000728391-16-000065.json,3,CIK0000728391,2016
2262,../archive/2016.QTR3/0001032220-16-000210.json,3,MMS,2016
2263,../archive/2016.QTR3/0001629137-16-000052.json,3,GBT,2016
2264,../archive/2016.QTR3/0001157523-16-006446.json,3,EGOV,2016
2265,../archive/2016.QTR3/0001144204-16-117690.json,3,MED,2016
2266,../archive/2016.QTR3/0001437749-16-036529.json,3,BMTC,2016
2267,../archive/2016.QTR3/0000099250-16-000021.json,3,TGPL,2016
2268,../archive/2016.QTR3/0001628280-16-017769.json,3,LPAD,2016
2269,../archive/2016.QTR3/0001477932-16-012550.json,3,CRWE,2016
2270,../archive/2016.QTR3/0001213900-16-015793.json,3,EPGG,2016
2271,../archive/2016.QTR3/0001614106-16-000014.json,3,ARCI,2016
2272,../archive/2016.QTR3/0001193125-16-676032.json,3,UBSI,2016
2273,../archive/2016.QTR3/0001213900-16-015639.json,3,NEOND,2016
2274,../archive/2016.QTR3/0001628280-16-018536.json,3,RDUS,2016
2275,../archive/2016.QTR3/0000066570-16-000102.json,3,MSA,2016
2276,../archive/2016.QTR3/0001104659-16-136572.json,3,ABT,2016
2277,../archive/2016.QTR3/0000095521-16-000277.json,3,SVU,2016
2278,../archive/2016.QTR3/0001426945-16-000025.json,3,ECHO,2016
2279,../archive/2016.QTR3/0001175535-16-000066.json,3,WSR,2016
2280,../archive/2016.QTR3/0001213900-16-016015.json,3,TRLI,2016
2281,../archive/2016.QTR3/0001571049-16-017424.json,3,MBCQ,2016
2282,../archive/2016.QTR3/0001437749-16-036895.json,3,DSPG,2016
2283,../archive/2016.QTR3/0001415889-16-006776.json,3,MBVX,2016
2284,../archive/2016.QTR3/0001564590-16-023613.json,3,NXST,2016
2285,../archive/2016.QTR3/0001144204-16-118709.json,3,CIK0001463389,2016
2286,../archive/2016.QTR3/0001193125-16-677859.json,3,MYGN,2016
2287,../archive/2016.QTR3/0001477932-16-012229.json,3,BANJ,2016
2288,../archive/2016.QTR3/0001437749-16-036315.json,3,MDC,2016
2289,../archive/2016.QTR3/0001193125-16-712292.json,3,XCRA,2016
2290,../archive/2016.QTR3/0001511164-16-000936.json,3,CGWB,2016
2291,../archive/2016.QTR3/0001099910-16-000404.json,3,EVTN,2016
2292,../archive/2016.QTR3/0001493152-16-012169.json,3,HUBIL,2016
2293,../archive/2016.QTR3/0001493152-16-012493.json,3,ADYNF,2016
2294,../archive/2016.QTR3/0001421461-16-000043.json,3,IPI,2016
2295,../archive/2016.QTR3/0001558370-16-007474.json,3,PCCC,2016
2296,../archive/2016.QTR3/0001078782-16-003465.json,3,HKEB,2016
2297,../archive/2016.QTR3/0001656239-16-000026.json,3,PNK,2016
2298,../archive/2016.QTR3/0001493152-16-012539.json,3,TOF,2016
2299,../archive/2016.QTR3/0001463101-16-000057.json,3,ENPH,2016
2300,../archive/2016.QTR3/0000100548-16-000039.json,3,UGU,2016
2301,../archive/2016.QTR3/0001564590-16-021442.json,3,NLSNNV,2016
2302,../archive/2016.QTR3/0001628280-16-017856.json,3,CL,2016
2303,../archive/2016.QTR3/0000701853-16-000031.json,3,C853,2016
2304,../archive/2016.QTR3/0001558370-16-007531.json,3,CNSL,2016
2305,../archive/2016.QTR3/0001214659-16-013265.json,3,IPDN,2016
2306,../archive/2016.QTR3/0000313616-16-000206.json,3,DHR,2016
2307,../archive/2016.QTR3/0001564590-16-021911.json,3,CEMP,2016
2308,../archive/2016.QTR3/0001520138-16-001178.json,3,DTSS,2016
2309,../archive/2016.QTR3/0001144204-16-113903.json,3,UBOH,2016
2310,../archive/2016.QTR3/0000020286-16-000084.json,3,CINF,2016
2311,../archive/2016.QTR3/0001532176-16-000067.json,3,REGN,2016
2312,../archive/2016.QTR3/0001102624-16-003355.json,3,ESNC,2016
2313,../archive/2016.QTR3/0000874716-16-000030.json,3,C716,2016
2314,../archive/2016.QTR3/0001038509-16-000058.json,3,CIK1038509,2016
2315,../archive/2016.QTR3/0001047469-16-015108.json,3,ARAY,2016
2316,../archive/2016.QTR3/0001564590-16-023701.json,3,DIOD,2016
2317,../archive/2016.QTR3/0001493152-16-011987.json,3,REED,2016
2318,../archive/2016.QTR3/0000009346-16-000065.json,3,BWINB,2016
2319,../archive/2016.QTR3/0001654954-16-001574.json,3,FIL,2016
2320,../archive/2016.QTR3/0000907254-16-000236.json,3,BFS,2016
2321,../archive/2016.QTR3/0001564590-16-024181.json,3,CLSD,2016
2322,../archive/2016.QTR3/0001013462-16-000022.json,3,ANSS,2016
2323,../archive/2016.QTR3/0001144204-16-119266.json,3,FRSI,2016
2324,../archive/2016.QTR3/0001437749-16-035217.json,3,RMCF,2016
2325,../archive/2016.QTR3/0001327978-16-000011.json,3,CK0001327978,2016
2326,../archive/2016.QTR3/0001193125-16-713207.json,3,CLE,2016
2327,../archive/2016.QTR3/0001062993-16-010886.json,3,KNDI,2016
2328,../archive/2016.QTR3/0001477932-16-012157.json,3,YUSG,2016
2329,../archive/2016.QTR3/0001144204-16-117628.json,3,INOD,2016
2330,../archive/2016.QTR3/0000277638-16-000080.json,3,DAVEY,2016
2331,../archive/2016.QTR3/0001564590-16-024928.json,3,NDSN,2016
2332,../archive/2016.QTR3/0001615774-16-006879.json,3,NUKK,2016
2333,../archive/2016.QTR3/0001393905-16-001030.json,3,BLCK,2016
2334,../archive/2016.QTR3/0001084991-16-000079.json,3,NGS,2016
2335,../archive/2016.QTR3/0001564590-16-024302.json,3,TRILINC,2016
2336,../archive/2016.QTR3/0001019687-16-007246.json,3,FOCUS,2016
2337,../archive/2016.QTR3/0001264931-16-000407.json,3,VIVA,2016
2338,../archive/2016.QTR3/0001079974-16-001428.json,3,AAXIX,2016
2339,../archive/2016.QTR3/0001127245-16-000029.json,3,NONE,2016
2340,../archive/2016.QTR3/0001564590-16-021803.json,3,MKTX,2016
2341,../archive/2016.QTR3/0000896159-16-000036.json,3,CB,2016
2342,../archive/2016.QTR3/0001477932-16-011901.json,3,MKNT,2016
2343,../archive/2016.QTR3/0001357371-16-000383.json,3,BBEP,2016
2344,../archive/2016.QTR3/0000746838-16-000045.json,3,UIS,2016
2345,../archive/2016.QTR3/0001518832-16-000030.json,3,WPX,2016
2346,../archive/2016.QTR3/0000027904-16-000026.json,3,DAL,2016
2347,../archive/2016.QTR3/0001534992-16-000059.json,3,FRGI,2016
2348,../archive/2016.QTR3/0001564590-16-022669.json,3,GLDD,2016
2349,../archive/2016.QTR3/0001477932-16-011844.json,3,INLL,2016
2350,../archive/2016.QTR3/0001213900-16-015402.json,3,ATNM,2016
2351,../archive/2016.QTR3/0001193125-16-680023.json,3,ETRM,2016
2352,../archive/2016.QTR3/0001140361-16-075014.json,3,TRST,2016
2353,../archive/2016.QTR3/0001193125-16-664234.json,3,LYB,2016
2354,../archive/2016.QTR3/0000721748-16-001511.json,3,SYTE,2016
2355,../archive/2016.QTR3/0001392091-16-000147.json,3,BKEP,2016
2356,../archive/2016.QTR3/0001078782-16-003127.json,3,GTXO,2016
2357,../archive/2016.QTR3/0001628280-16-017801.json,3,RNR,2016
2358,../archive/2016.QTR3/0000937556-16-000337.json,3,MASI,2016
2359,../archive/2016.QTR3/0000076063-16-000058.json,3,PEPL,2016
2360,../archive/2016.QTR3/0001564590-16-023347.json,3,QLGC,2016
2361,../archive/2016.QTR3/0001015328-16-000382.json,3,WTFC,2016
2362,../archive/2016.QTR3/0001104659-16-138192.json,3,FOLD,2016
2363,../archive/2016.QTR3/0001193125-16-678578.json,3,RXII,2016
2364,../archive/2016.QTR3/0001144204-16-119335.json,3,INRD,2016
2365,../archive/2016.QTR3/0001667154-16-000009.json,3,OPCOLP,2016
2366,../archive/2016.QTR3/0001354488-16-008165.json,3,PBNC,2016
2367,../archive/2016.QTR3/0001213900-16-015697.json,3,MDFI,2016
2368,../archive/2016.QTR3/0001144204-16-117281.json,3,WLKR,2016
2369,../archive/2016.QTR3/0001628280-16-018598.json,3,ADSW,2016
2370,../archive/2016.QTR3/0000018230-16-000630.json,3,CAT,2016
2371,../archive/2016.QTR3/0001675426-16-000037.json,3,NLONE,2016
2372,../archive/2016.QTR3/0001193125-16-671759.json,3,OTIC,2016
2373,../archive/2016.QTR3/0001178913-16-006153.json,3,CALL,2016
2374,../archive/2016.QTR3/0001144204-16-118031.json,3,PBSK,2016
2375,../archive/2016.QTR3/0001104659-16-143433.json,3,BONT,2016
2376,../archive/2016.QTR3/0001059562-16-000068.json,3,LMIA,2016
2377,../archive/2016.QTR3/0001493152-16-012201.json,3,RHNO,2016
2378,../archive/2016.QTR3/0001564590-16-024197.json,3,COKE,2016
2379,../archive/2016.QTR3/0001564590-16-023652.json,3,DBC,2016
2380,../archive/2016.QTR3/0001538263-16-000128.json,3,HTBI,2016
2381,../archive/2016.QTR3/0001558370-16-007966.json,3,SPP,2016
2382,../archive/2016.QTR3/0000764811-16-000111.json,3,COB,2016
2383,../archive/2016.QTR3/0000727920-16-000023.json,3,AXAEQ,2016
2384,../archive/2016.QTR3/0001193125-16-662319.json,3,MSTR,2016
2385,../archive/2016.QTR3/0001477932-16-011917.json,3,IMLE,2016
2386,../archive/2016.QTR3/0001052918-16-001252.json,3,GRMC,2016
2387,../archive/2016.QTR3/0001206774-16-006651.json,3,SFST,2016
2388,../archive/2016.QTR3/0001607062-16-000997.json,3,VRTC,2016
2389,../archive/2016.QTR3/0001026608-16-000118.json,3,ACU,2016
2390,../archive/2016.QTR3/0001517126-16-000334.json,3,GLAG,2016
2391,../archive/2016.QTR3/0001437749-16-037115.json,3,TOVC,2016
2392,../archive/2016.QTR3/0000850209-16-000005.json,3,FL,2016
2393,../archive/2016.QTR3/0001019687-16-007250.json,3,BROG,2016
2394,../archive/2016.QTR3/0001564590-16-021546.json,3,EXP,2016
2395,../archive/2016.QTR3/0001574291-16-000037.json,3,CCI,2016
2396,../archive/2016.QTR3/0001398987-16-000291.json,3,RLGY,2016
