_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
0,../archive/2017.QTR1/0001144204-17-017953.json,1,CASI,2017
1,../archive/2017.QTR1/0001095073-17-000011.json,1,RE,2017
2,../archive/2017.QTR1/0001493152-17-001571.json,1,PTRA,2017
3,../archive/2017.QTR1/0001108827-17-000007.json,1,QEP,2017
4,../archive/2017.QTR1/0001214659-17-001083.json,1,TBLZ,2017
5,../archive/2017.QTR1/0000102741-17-000003.json,1,VAL,2017
6,../archive/2017.QTR1/0001144204-17-015082.json,1,ANCX,2017
7,../archive/2017.QTR1/0000058361-17-000022.json,1,LEE,2017
8,../archive/2017.QTR1/0001174947-17-000329.json,1,FREVSOB,2017
9,../archive/2017.QTR1/0001144204-17-014369.json,1,AXAR,2017
10,../archive/2017.QTR1/0001683168-17-000639.json,1,FCUV,2017
11,../archive/2017.QTR1/0001176334-17-000011.json,1,MMLP,2017
12,../archive/2017.QTR1/0001564590-17-005329.json,1,SRNE,2017
13,../archive/2017.QTR1/0001571049-17-001052.json,1,PAHC,2017
14,../archive/2017.QTR1/0001495479-17-000016.json,1,BBRG,2017
15,../archive/2017.QTR1/0001144204-17-017396.json,1,CIK0001662684,2017
16,../archive/2017.QTR1/0001078782-17-000211.json,1,RMSL,2017
17,../archive/2017.QTR1/0001493152-17-002998.json,1,BBLG,2017
18,../archive/2017.QTR1/0000098362-17-000031.json,1,TKR,2017
19,../archive/2017.QTR1/0001144204-17-014555.json,1,RASP,2017
20,../archive/2017.QTR1/0000039911-17-000058.json,1,GPS,2017
21,../archive/2017.QTR1/0001683168-17-000455.json,1,TPAC,2017
22,../archive/2017.QTR1/0001408534-17-000022.json,1,FGBI,2017
23,../archive/2017.QTR1/0001437749-17-002757.json,1,ITKG,2017
24,../archive/2017.QTR1/0001304492-17-000008.json,1,PDVW,2017
25,../archive/2017.QTR1/0001552781-17-000162.json,1,VRC,2017
26,../archive/2017.QTR1/0001564590-17-005846.json,1,CK0001448038,2017
27,../archive/2017.QTR1/0001437749-17-003516.json,1,ORA,2017
28,../archive/2017.QTR1/0000313716-17-000043.json,1,HDNG,2017
29,../archive/2017.QTR1/0000040729-17-000067.json,1,ALLY,2017
30,../archive/2017.QTR1/0001296435-17-000053.json,1,NP,2017
31,../archive/2017.QTR1/0000837465-17-000002.json,1,ELY,2017
32,../archive/2017.QTR1/0000750813-17-000011.json,1,CIK0000750813,2017
33,../archive/2017.QTR1/0001185185-17-000107.json,1,EDUC,2017
34,../archive/2017.QTR1/0001493152-17-001875.json,1,XFTB,2017
35,../archive/2017.QTR1/0001455650-17-000008.json,1,NSRE,2017
36,../archive/2017.QTR1/0001437749-17-004007.json,1,RUTH,2017
37,../archive/2017.QTR1/0001564590-17-003245.json,1,RETA,2017
38,../archive/2017.QTR1/0000766421-17-000016.json,1,ALK,2017
39,../archive/2017.QTR1/0001468666-17-000015.json,1,SCWX,2017
40,../archive/2017.QTR1/0001437749-17-003238.json,1,SLV,2017
41,../archive/2017.QTR1/0001193125-17-102052.json,1,PIRS,2017
42,../archive/2017.QTR1/0001326160-17-000016.json,1,DUK,2017
43,../archive/2017.QTR1/0001558370-17-002045.json,1,HONE,2017
44,../archive/2017.QTR1/0001062993-17-000132.json,1,HNDI,2017
45,../archive/2017.QTR1/0001102934-17-000004.json,1,CCMP,2017
46,../archive/2017.QTR1/0000913165-17-000006.json,1,EXAC,2017
47,../archive/2017.QTR1/0001558370-17-000582.json,1,IND4,2017
48,../archive/2017.QTR1/0001475274-17-000003.json,1,SALE,2017
49,../archive/2017.QTR1/0001437749-17-004904.json,1,BFBI,2017
50,../archive/2017.QTR1/0000769397-17-000014.json,1,ADSK,2017
51,../archive/2017.QTR1/0001628280-17-002421.json,1,AERI,2017
52,../archive/2017.QTR1/0001437749-17-002429.json,1,FRD,2017
53,../archive/2017.QTR1/0001213900-17-002409.json,1,SSCM,2017
54,../archive/2017.QTR1/0001097149-17-000009.json,1,ALGN,2017
55,../archive/2017.QTR1/0000783324-17-000005.json,1,C324,2017
56,../archive/2017.QTR1/0000020740-17-000006.json,1,CLC,2017
57,../archive/2017.QTR1/0000745981-17-000035.json,1,MSL,2017
58,../archive/2017.QTR1/0001564590-17-002842.json,1,SRPT,2017
59,../archive/2017.QTR1/0001653477-17-000029.json,1,NGVT,2017
60,../archive/2017.QTR1/0000018498-17-000009.json,1,GCO,2017
61,../archive/2017.QTR1/0000897101-17-000133.json,1,MGCD,2017
62,../archive/2017.QTR1/0001193125-17-083861.json,1,CFRX,2017
63,../archive/2017.QTR1/0001553350-17-000248.json,1,ASPU,2017
64,../archive/2017.QTR1/0001193125-17-104169.json,1,DRNA,2017
65,../archive/2017.QTR1/0001558370-17-000994.json,1,RS,2017
66,../archive/2017.QTR1/0000779152-17-000007.json,1,JKHY,2017
67,../archive/2017.QTR1/0000750004-17-000018.json,1,SGMS,2017
68,../archive/2017.QTR1/0001611231-17-000010.json,1,MXPT,2017
69,../archive/2017.QTR1/0001564590-17-003880.json,1,EGL,2017
70,../archive/2017.QTR1/0001434729-17-000004.json,1,HSNI,2017
71,../archive/2017.QTR1/0001534701-17-000051.json,1,PSX,2017
72,../archive/2017.QTR1/0001628280-17-001061.json,1,LQDT,2017
73,../archive/2017.QTR1/0001376474-17-000016.json,1,RMP,2017
74,../archive/2017.QTR1/0000708955-17-000016.json,1,FFBC,2017
75,../archive/2017.QTR1/0001501570-17-000058.json,1,VBTX,2017
76,../archive/2017.QTR1/0001390478-17-000020.json,1,GALE,2017
77,../archive/2017.QTR1/0000089089-17-000006.json,1,SCI,2017
78,../archive/2017.QTR1/0001193125-17-101804.json,1,MADL,2017
79,../archive/2017.QTR1/0001558370-17-001813.json,1,MBVT,2017
80,../archive/2017.QTR1/0001051512-17-000013.json,1,TDS,2017
81,../archive/2017.QTR1/0000202058-17-000010.json,1,HRS,2017
82,../archive/2017.QTR1/0001144204-17-014797.json,1,TPHS,2017
83,../archive/2017.QTR1/0001564590-17-002442.json,1,CRK,2017
84,../archive/2017.QTR1/0001558370-17-000594.json,1,INCY,2017
85,../archive/2017.QTR1/0000746515-17-000007.json,1,EXPD,2017
86,../archive/2017.QTR1/0001564590-17-002012.json,1,PGRE,2017
87,../archive/2017.QTR1/0001564590-17-001794.json,1,NAVG,2017
88,../archive/2017.QTR1/0001125376-17-000013.json,1,ENSG,2017
89,../archive/2017.QTR1/0001193125-17-034644.json,1,IESC,2017
90,../archive/2017.QTR1/0001628280-17-000959.json,1,VAR,2017
91,../archive/2017.QTR1/0000849399-17-000006.json,1,SYMC,2017
92,../archive/2017.QTR1/0001312910-17-000003.json,1,ICON,2017
