_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
1177,../archive/2010.QTR3/0001193125-10-181227.json,3,DUK,2010
1178,../archive/2010.QTR3/0001104659-10-037444.json,3,BBY,2010
1179,../archive/2010.QTR3/0000950123-10-075455.json,3,THOR,2010
1180,../archive/2010.QTR3/0001193125-10-183099.json,3,ZION,2010
1181,../archive/2010.QTR3/0001065059-10-000020.json,3,USU,2010
1182,../archive/2010.QTR3/0001104659-10-039266.json,3,TCB,2010
1183,../archive/2010.QTR3/0001047469-10-007120.json,3,WLT,2010
1184,../archive/2010.QTR3/0001193125-10-181335.json,3,FO,2010
1185,../archive/2010.QTR3/0001104659-10-047204.json,3,HRL,2010
1186,../archive/2010.QTR3/0001193125-10-180877.json,3,MUR,2010
1187,../archive/2010.QTR3/0000950123-10-072514.json,3,PSYS,2010
1188,../archive/2010.QTR3/0001045810-10-000029.json,3,NVDA,2010
1189,../archive/2010.QTR3/0000950123-10-075052.json,3,EP,2010
1190,../archive/2010.QTR3/0001193125-10-172389.json,3,CHK,2010
1191,../archive/2010.QTR3/0001140361-10-031918.json,3,ESS,2010
1192,../archive/2010.QTR3/0001104659-10-039499.json,3,BOH,2010
1193,../archive/2010.QTR3/0000950123-10-074287.json,3,CPNO,2010
1194,../archive/2010.QTR3/0000950123-10-071085.json,3,CGNX,2010
1195,../archive/2010.QTR3/0001193125-10-169253.json,3,RNR,2010
1196,../archive/2010.QTR3/0001193125-10-181067.json,3,UFS,2010
1197,../archive/2010.QTR3/0001193125-10-170567.json,3,VZ,2010
1198,../archive/2010.QTR3/0000007084-10-000043.json,3,ADM,2010
1199,../archive/2010.QTR3/0000950123-10-074950.json,3,EXBD,2010
1200,../archive/2010.QTR3/0001104659-10-042753.json,3,ATVI,2010
1201,../archive/2010.QTR3/0001193125-10-178803.json,3,ARBA,2010
1202,../archive/2010.QTR3/0000950123-10-073903.json,3,CBE,2010
1203,../archive/2010.QTR3/0000950123-10-074550.json,3,LVS,2010
1204,../archive/2010.QTR3/0000950123-10-074415.json,3,AWH,2010
1205,../archive/2010.QTR3/0001193125-10-181476.json,3,HAR,2010
1206,../archive/2010.QTR3/0000950123-10-080878.json,3,AEO,2010
1207,../archive/2010.QTR3/0001104659-10-042600.json,3,APH,2010
1208,../archive/2010.QTR3/0000950123-10-073915.json,3,LMNX,2010
1209,../archive/2010.QTR3/0000950123-10-074383.json,3,MDAS,2010
1210,../archive/2010.QTR3/0001193125-10-179479.json,3,TDC,2010
1211,../archive/2010.QTR3/0001193125-10-182962.json,3,PPS,2010
1212,../archive/2010.QTR3/0000912750-10-000057.json,3,NFX,2010
1213,../archive/2010.QTR3/0001193125-10-177037.json,3,KRC,2010
1214,../archive/2010.QTR3/0000950123-10-075746.json,3,NILE,2010
1215,../archive/2010.QTR3/0000924901-10-000019.json,3,CLI,2010
1216,../archive/2010.QTR3/0000866829-10-000024.json,3,HLX,2010
1217,../archive/2010.QTR3/0001193125-10-205832.json,3,NAV,2010
1218,../archive/2010.QTR3/0000950123-10-073554.json,3,WRC,2010
1219,../archive/2010.QTR3/0000950123-10-084929.json,3,GEF,2010
1220,../archive/2010.QTR3/0001193125-10-207419.json,3,NOVL,2010
1221,../archive/2010.QTR3/0000950123-10-072200.json,3,AGP,2010
1222,../archive/2010.QTR3/0001145443-10-001809.json,3,RDK,2010
1223,../archive/2010.QTR3/0001193125-10-164115.json,3,EBAY,2010
1224,../archive/2010.QTR3/0000277135-10-000044.json,3,GWW,2010
1225,../archive/2010.QTR3/0000950123-10-076721.json,3,LSI,2010
1226,../archive/2010.QTR3/0001104659-10-042335.json,3,MORN,2010
1227,../archive/2010.QTR3/0001193125-10-205516.json,3,M,2010
1228,../archive/2010.QTR3/0001193125-10-177386.json,3,AMD,2010
1229,../archive/2010.QTR3/0001140361-10-032343.json,3,NBTB,2010
1230,../archive/2010.QTR3/0001193125-10-181285.json,3,VLY,2010
1231,../archive/2010.QTR3/0001193125-10-183257.json,3,SNI,2010
1232,../archive/2010.QTR3/0000950123-10-084374.json,3,NDSN,2010
1233,../archive/2010.QTR3/0001193125-10-170802.json,3,GTI,2010
1234,../archive/2010.QTR3/0001193125-10-198765.json,3,SIG,2010
1235,../archive/2010.QTR3/0001104659-10-042732.json,3,EXR,2010
1236,../archive/2010.QTR3/0001104659-10-047530.json,3,GES,2010
1237,../archive/2010.QTR3/0001193125-10-181401.json,3,CTSH,2010
1238,../archive/2010.QTR3/0001193125-10-182387.json,3,SATS,2010
1239,../archive/2010.QTR3/0000875357-10-000036.json,3,BOKF,2010
1240,../archive/2010.QTR3/0000950123-10-074198.json,3,CB,2010
1241,../archive/2010.QTR3/0001047469-10-007028.json,3,EIX,2010
1242,../archive/2010.QTR3/0001104659-10-040563.json,3,DPL,2010
1243,../archive/2010.QTR3/0001104659-10-047199.json,3,PLCE,2010
1244,../archive/2010.QTR3/0001193125-10-181102.json,3,CME,2010
1245,../archive/2010.QTR3/0001193125-10-177778.json,3,WR,2010
1246,../archive/2010.QTR3/0000950123-10-073427.json,3,FNM,2010
1247,../archive/2010.QTR3/0001193125-10-181047.json,3,Q,2010
