_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
1944,../archive/2022.QTR1/0001628280-22-006078.json,1,ACHR,2022
1945,../archive/2022.QTR1/0001213900-22-010887.json,1,SBFG,2022
1946,../archive/2022.QTR1/0001520138-22-000110.json,1,CCYC,2022
1947,../archive/2022.QTR1/0001193805-22-000064.json,1,SMIT,2022
1948,../archive/2022.QTR1/0001437749-22-007724.json,1,AIGT,2022
1949,../archive/2022.QTR1/0001213900-22-016695.json,1,VHAQ,2022
1950,../archive/2022.QTR1/0000320335-22-000006.json,1,GL,2022
1951,../archive/2022.QTR1/0001193125-22-011686.json,1,SRSAU,2022
1952,../archive/2022.QTR1/0001437749-22-005975.json,1,NKSH,2022
1953,../archive/2022.QTR1/0000027419-22-000007.json,1,TGT,2022
1954,../archive/2022.QTR1/0001558370-22-001009.json,1,CGRN,2022
1955,../archive/2022.QTR1/0001493152-22-008167.json,1,SCTC,2022
1956,../archive/2022.QTR1/0000070145-22-000005.json,1,NFG,2022
1957,../archive/2022.QTR1/0001492298-22-000014.json,1,SBRA,2022
1958,../archive/2022.QTR1/0001564590-22-009182.json,1,LJPC,2022
1959,../archive/2022.QTR1/0001410578-22-000401.json,1,TMB,2022
1960,../archive/2022.QTR1/0001104659-22-041007.json,1,POW,2022
1961,../archive/2022.QTR1/0001213900-22-010604.json,1,RONI,2022
1962,../archive/2022.QTR1/0001193125-22-076304.json,1,FOA,2022
1963,../archive/2022.QTR1/0001410578-22-000544.json,1,TMB,2022
1964,../archive/2022.QTR1/0001829126-22-003505.json,1,ALTB,2022
1965,../archive/2022.QTR1/0000002178-22-000033.json,1,AE,2022
1966,../archive/2022.QTR1/0001213900-22-011445.json,1,GOAC,2022
1967,../archive/2022.QTR1/0001503707-22-000007.json,1,NSHI,2022
1968,../archive/2022.QTR1/0001347652-22-000020.json,1,CORR,2022
1969,../archive/2022.QTR1/0001493152-22-007504.json,1,AYRO,2022
1970,../archive/2022.QTR1/0001171843-22-002061.json,1,UG,2022
1971,../archive/2022.QTR1/0001410578-22-000397.json,1,BFC,2022
1972,../archive/2022.QTR1/0001558370-22-004437.json,1,CASI,2022
1973,../archive/2022.QTR1/0001213900-22-016800.json,1,NOAC,2022
1974,../archive/2022.QTR1/0000950170-22-004563.json,1,SGHT,2022
1975,../archive/2022.QTR1/0001628280-22-008070.json,1,HLG,2022
1976,../archive/2022.QTR1/0001104659-22-035080.json,1,SVNAU,2022
1977,../archive/2022.QTR1/0001193125-22-056531.json,1,BRKR,2022
1978,../archive/2022.QTR1/0001493152-22-007857.json,1,OMWS,2022
1979,../archive/2022.QTR1/0001213900-22-013301.json,1,ML,2022
1980,../archive/2022.QTR1/0001193125-22-086629.json,1,CTAQ,2022
1981,../archive/2022.QTR1/0001558891-22-000022.json,1,WGEI,2022
1982,../archive/2022.QTR1/0001564590-22-008510.json,1,SUP,2022
1983,../archive/2022.QTR1/0001477932-22-000494.json,1,AOXY,2022
1984,../archive/2022.QTR1/0001728688-22-000011.json,1,IIIV,2022
1985,../archive/2022.QTR1/0000950170-22-002008.json,1,CFLT,2022
1986,../archive/2022.QTR1/0000950170-22-004076.json,1,KSS,2022
1987,../archive/2022.QTR1/0001213900-22-002906.json,1,ADOC,2022
1988,../archive/2022.QTR1/0001567925-22-000015.json,1,CIK0001567925,2022
1989,../archive/2022.QTR1/0001627857-22-000030.json,1,SAIL,2022
1990,../archive/2022.QTR1/0001493152-22-007441.json,1,HFRN,2022
1991,../archive/2022.QTR1/0000950170-22-004426.json,1,TNYA,2022
1992,../archive/2022.QTR1/0001437749-22-005888.json,1,ACRX,2022
1993,../archive/2022.QTR1/0001140361-22-002195.json,1,LFTRU,2022
1994,../archive/2022.QTR1/0001185185-22-000360.json,1,TECTP,2022
1995,../archive/2022.QTR1/0001213900-22-016768.json,1,BRLI,2022
1996,../archive/2022.QTR1/0001558370-22-002388.json,1,OLMA,2022
1997,../archive/2022.QTR1/0001065949-22-000012.json,1,SRUS,2022
1998,../archive/2022.QTR1/0001387131-22-004096.json,1,MNRTII,2022
1999,../archive/2022.QTR1/0001558370-22-002737.json,1,GLYC,2022
2000,../archive/2022.QTR1/0001477932-22-001817.json,1,BICX,2022
2001,../archive/2022.QTR1/0001213900-22-008263.json,1,TKCM,2022
2002,../archive/2022.QTR1/0000096943-22-000016.json,1,TFX,2022
2003,../archive/2022.QTR1/0000891024-22-000002.json,1,PDCO,2022
2004,../archive/2022.QTR1/0001104659-22-041115.json,1,PHYT,2022
2005,../archive/2022.QTR1/0001471727-22-000027.json,1,BTTR,2022
2006,../archive/2022.QTR1/0001437749-22-005867.json,1,BSQR,2022
2007,../archive/2022.QTR1/0001697500-22-000011.json,1,SOI,2022
2008,../archive/2022.QTR1/0001140361-22-012253.json,1,KRNL,2022
2009,../archive/2022.QTR1/0001410578-22-000790.json,1,SHCR,2022
2010,../archive/2022.QTR1/0001213900-22-001691.json,1,BLNG,2022
