_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
4797,../archive/2021.QTR3/0001078782-21-000713.json,3,LUA,2021
4798,../archive/2021.QTR3/0001496963-21-000003.json,3,SQSP,2021
4799,../archive/2021.QTR3/0001599916-21-000125.json,3,FTRK,2021
4800,../archive/2021.QTR3/0001193125-21-246026.json,3,SBII,2021
4801,../archive/2021.QTR3/0001564590-21-044018.json,3,NKTX,2021
4802,../archive/2021.QTR3/0001558370-21-010604.json,3,TSE,2021
4803,../archive/2021.QTR3/0000723125-21-000052.json,3,MU,2021
4804,../archive/2021.QTR3/0001564590-21-043227.json,3,KLDO,2021
4805,../archive/2021.QTR3/0001214659-21-008870.json,3,CIK0001709542,2021
4806,../archive/2021.QTR3/0001564590-21-044448.json,3,SCYX,2021
4807,../archive/2021.QTR3/0001564590-21-039178.json,3,CRSP,2021
4808,../archive/2021.QTR3/0001477932-21-004648.json,3,FLCX,2021
4809,../archive/2021.QTR3/0001213900-21-042484.json,3,FSNB,2021
4810,../archive/2021.QTR3/0001558370-21-011445.json,3,GANX,2021
4811,../archive/2021.QTR3/0001669162-21-000026.json,3,KNSL,2021
4812,../archive/2021.QTR3/0000073088-21-000108.json,3,NWE,2021
4813,../archive/2021.QTR3/0001558370-21-009976.json,3,RIGL,2021
4814,../archive/2021.QTR3/0001564590-21-038293.json,3,PGRE,2021
4815,../archive/2021.QTR3/0001564590-21-041563.json,3,MNTV,2021
4816,../archive/2021.QTR3/0001558370-21-010487.json,3,WSTG,2021
4817,../archive/2021.QTR3/0001213900-21-044383.json,3,CUEN,2021
4818,../archive/2021.QTR3/0001628280-21-016834.json,3,LMB,2021
4819,../archive/2021.QTR3/0001193125-21-221398.json,3,DPZ,2021
4820,../archive/2021.QTR3/0001193125-21-245489.json,3,OMEX,2021
4821,../archive/2021.QTR3/0001437749-21-019360.json,3,CRWS,2021
4822,../archive/2021.QTR3/0001628280-21-016137.json,3,MAT,2021
4823,../archive/2021.QTR3/0000920522-21-000049.json,3,ESS,2021
4824,../archive/2021.QTR3/0001639825-21-000256.json,3,PTON,2021
4825,../archive/2021.QTR3/0001564590-21-040237.json,3,HEES,2021
4826,../archive/2021.QTR3/0001176334-21-000143.json,3,MMLP,2021
4827,../archive/2021.QTR3/0001564590-21-041975.json,3,CK91882,2021
4828,../archive/2021.QTR3/0001717547-21-000035.json,3,BRSP,2021
4829,../archive/2021.QTR3/0001628280-21-016072.json,3,ART,2021
4830,../archive/2021.QTR3/0001721868-21-000468.json,3,TMC,2021
4831,../archive/2021.QTR3/0001562884-21-000040.json,3,NUNZ,2021
4832,../archive/2021.QTR3/0001193125-21-247908.json,3,KSICU,2021
4833,../archive/2021.QTR3/0001564590-21-044624.json,3,ANNX,2021
4834,../archive/2021.QTR3/0001564590-21-044274.json,3,MLVF,2021
4835,../archive/2021.QTR3/0001564590-21-042128.json,3,HCI,2021
4836,../archive/2021.QTR3/0001213900-21-042460.json,3,FTVI,2021
