_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
6094,../archive/2019.QTR2/0001493152-19-007427.json,2,DIRV,2019
6095,../archive/2019.QTR2/0001683168-19-001045.json,2,PTEO,2019
6096,../archive/2019.QTR2/0001558370-19-003681.json,2,WD,2019
6097,../archive/2019.QTR2/0001130310-19-000021.json,2,CNP,2019
6098,../archive/2019.QTR2/0001564590-19-014806.json,2,HES,2019
6099,../archive/2019.QTR2/0001213900-19-008897.json,2,CIK0001687999,2019
6100,../archive/2019.QTR2/0000012208-19-000014.json,2,BIO,2019
6101,../archive/2019.QTR2/0001558370-19-004514.json,2,MRAM,2019
6102,../archive/2019.QTR2/0001096906-19-000188.json,2,FCCN,2019
6103,../archive/2019.QTR2/0001104659-19-029303.json,2,ARDS,2019
6104,../archive/2019.QTR2/0001654954-19-006115.json,2,CBAI,2019
6105,../archive/2019.QTR2/0001640334-19-000574.json,2,REAC,2019
6106,../archive/2019.QTR2/0001052918-19-000067.json,2,THMG,2019
6107,../archive/2019.QTR2/0000862668-19-000007.json,2,ESMC,2019
6108,../archive/2019.QTR2/0001213900-19-008747.json,2,BANT,2019
6109,../archive/2019.QTR2/0001437749-19-007187.json,2,CLRO,2019
6110,../archive/2019.QTR2/0001047469-19-002990.json,2,HK,2019
6111,../archive/2019.QTR2/0001564590-19-016211.json,2,AGLE,2019
6112,../archive/2019.QTR2/0001616000-19-000041.json,2,XHR,2019
6113,../archive/2019.QTR2/0001558370-19-003951.json,2,INGR,2019
6114,../archive/2019.QTR2/0001548123-19-000105.json,2,CFOO,2019
6115,../archive/2019.QTR2/0000028917-19-000190.json,2,DDS,2019
6116,../archive/2019.QTR2/0001564590-19-017050.json,2,PBPB,2019
6117,../archive/2019.QTR2/0001393883-19-000022.json,2,DHX,2019
6118,../archive/2019.QTR2/0001640334-19-000827.json,2,HAHA,2019
6119,../archive/2019.QTR2/0001683168-19-000984.json,2,SIMU,2019
6120,../archive/2019.QTR2/0001564590-19-017400.json,2,DBO,2019
6121,../archive/2019.QTR2/0001144204-19-025265.json,2,SLCT,2019
6122,../archive/2019.QTR2/0001637913-19-000010.json,2,MCRN,2019
6123,../archive/2019.QTR2/0001213900-19-010662.json,2,NTRB,2019
6124,../archive/2019.QTR2/0001185185-19-000644.json,2,ENERGY11,2019
6125,../archive/2019.QTR2/0000828944-19-000035.json,2,WSFS,2019
6126,../archive/2019.QTR2/0001213900-19-005899.json,2,CREG,2019
6127,../archive/2019.QTR2/0001618034-19-000006.json,2,MOS,2019
6128,../archive/2019.QTR2/0000101199-19-000058.json,2,UFCS,2019
6129,../archive/2019.QTR2/0001604778-19-000031.json,2,RFMD,2019
6130,../archive/2019.QTR2/0001043604-19-000045.json,2,JNPR,2019
6131,../archive/2019.QTR2/0001277902-19-000024.json,2,MVBF,2019
6132,../archive/2019.QTR2/0001144204-19-022959.json,2,MYRG,2019
